participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
IMS16,2,ims,ch,right,glasses,37,21,yes,undergrad,male,right,18,20,"Tongling, Sezchuan",31,"E., M., H.",U.,"Mandarin, Tongling","Mandarin, English, Tongling","Mandarin, English, Spanish, Tonglin, Sezchuan",80,20,tae kwondo,1,no,horizontal harp,1,no,no,na,7,47
IMS17,3,ims,ch,left,contacts,38,21,yes,undergrad,female,right,19,20,English,14,"E., M., H.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",20,80,basketball,3,yes,piano,6,no,no,na,6,38
IMS18,4,ims,ch,right,glasses,35,24,yes,master,female,right,18,20,English,18,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",90,10,"basketball, gym, swimming","bk 15, gym 4, sw 5",no,"guitar, guqin","gt 6, gq 1",no,yes,3,10,
IMS19,1,ims,ch,right,normal,26,22,yes,undergrad,female,right,19,20,English,18,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",90,10,no,no,no,pipa,5,no,yes,2 (no conduce),6,
IMS20,2,ims,ch,right,contacts,32,24,yes,undergrad,female,right,14,17,"English, Catalan",120,"E., M.,","H., U.",Mandarin,"Mandarin, English, Lishui","Mandarin, English, Lishui, Spanish, Catalan",50,50,walking (40-mins),1,no,no,no,no,no,na,8,
IMS21,3,ims,ch,right,normal,27,25,yes,master,female,right,22,23,English,36,"E., M., H., U.",U.,Mandarin,"Mandarin, Enlish, Nanjing, Kunming","Mandarin, Enlish, Nanjing, Kunming, Spanish",80,20,no,no,no,piano,6,no,no,na,8,
IMS22,4,ims,ch,right,glasses,26,23,yes,master,male,right,19,20,"English, Beijing",24,"E., M., H., U.",U.,Mandarin,"Mandarin, Beijing, English","Mandarin, Beijing, English, Spanish",80,20,basketball,12,no,no,no,no,no,na,6,
IMS23,1,ims,ch,left,glasses,29,24,yes,undergrad,female,right,20,22,"English, Chengdu",54,"E., M., H., U.",U.,"Mandarin, Chengdu","Mandarin, Chengdu","Mandarin, Chengdu, English, Spanish, Catalan",70,30,gym,8,no,no,no,no,no,na,6,
IMS24,2,ims,ch,right,glasses,35,29,yes,master,female,right,20,27,"English, shaoxinghua,shengzhouhua, shanxihua",18,"E., M., H., U.",U.,"Shaoxinghua, Mandarin","Mandarin, Shaoxinghua","Mandarin, English, shaoxinghua,shengzhouhua, shanxihua, Spanish",80,20,ping pong ,pp 9,no,no,no,no,yes,2 (no conduce),7,
IMS25,3,ims,ch,right,glasses,34,27,yes,master,female,right,24,25,English,36,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",80,20,yoga,8,no,"violin, accordions, keyboards","vi .5, ac .5 kb .5",no,no,na,12,
IMS26,4,ims,ch,right,glasses,29,20,yes,undergrad,female,right,18,19,"English, Korean, French, Liaoning",18,"E., M., H.",U.,"Mandarin, Liaoning","Mandarin, Liaoning, English","Mandarin, Liaoning, Korean, French, Russian",90,10,"walking, swimming","wk 6, sw 1.5",no,"piano, violin, ukelele, guitarra","pi 13, vi 3, uk 1, gt 1",yes (piano),no,na,9,
IMS27,1,ims,ch,left,glasses,34,24,yes,master,female,right,19,21,English,30,"E., M., H., U.",U.,"Mandarin, Yangquan","Mandarin, Yangquan, English","Mandarin, Yangquan, English, Spanish, Catalan",50,50,"swimming, dancing","sw 13, dn 4",no,violin,7,no,yes,3 (no conduce),9,
IMS28,2,ims,ch,left,glasses,28,37,yes,master,female,right,35,36,English,24,"E., M., H., U.",U.,"Mandarin, Ningxia","Mandarin, Ningxia, English","Mandarin, Ningxia, English, Spanish",50,50,"basketball, tennis","bk 12, tn 30",no,no,no,no,yes,15,6,
IMS29,3,ims,ch,right,glasses,37,21,yes,undergrad,female,right,17,20,English,18,"E., M., H., U.",U.,Mandarin,"Mandarin, Min (East part), English","Mandarin, Min (East part), English, Spanish",90,10,no,no,no,"guitar, guzheng","gt 3, gz 4",no,yes,3 (no conduce),7,
IMS30,4,ims,ch,right,normal,34,26,yes,master,female,right,20,25,"English, South-West Chinese",12,"E., M., H., U.",U.,"South-West Chinese, Mandarin","South-West Chinese, Mandarin, English","South-West Chinese, Mandarin, English, Spanish, Japanese, Korean",80,20,yoga,5,no,"piano, sing","pi 1, sg 6",no,yes,4 (no conduce),10,
IMS31,1,ims,ch,right,normal,35,25,yes,undergrad,male,right,24,25,English,12,"E., M., H., U.",no,Hunan South-China,"Hunan South-China, Mandarin","Hunan South-China, Mandarin, English, Spanish, Catalan, German",80,20,"tennis, gym, badminton, pingpong","tn 3, gm 4, bd 10, pp 10",no,no,no,no,no,na,7,
IMS32,2,ims,ch,right,glasses,37,23,yes,master,female,right,18,18,English,11,"E., M., H.",U.,"Shangdong, Mandarin","Shangdong, Mandarin, English","Shangdong, Mandarin, English, Spanish",70,30,"swimming, tennis, long jump, athletics","sw 5, tn 2, lj 3, at 3",no,"ukelele, piano","uk 4, pn 3",no,yes,4 (no conduce),6,
AMS01,1,ams,ch,right,glasses,50,18,yes,undergrad,female,right,12,13,no,72,"E., M.","H., U.",Mandarin,"Mandarin, English","Mandarin, Spanish, English",20,80,swimming,3,yes,transverse flute,4,yes,no,na,8,50
AMS02,2,ams,ch,left,glasses,42,24,yes,master,female,right,19,21,"English, Italian",16,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, Italian, French",20,80,cycling,17,no,piano,2,no,no,na,6,43
AMS03,3,ams,ch,right,normal,45,21,yes,undergrad,female,right,18,20,English,1,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, Portuguese",60,40,badmington,11,no,harmonica,1,no,yes ,3,6,43
AMS04,4,ams,ch,right,normal,47,22,yes,master,female,right,11,14,"English, Catalan",144,"E., M.","H., U.",Mandarin,"Mandarin, English, Spanish","Mandarin, English, Spanish, Catalan",50,50,no,no,no,dance,6,no,yes ,2,10,52
AMS05,1,ams,ch,right,contacts,41,30,yes,master,female,right,20,28,English,22,"E., M., H., U.",U.,Mandarin,Mandarin,"Mandarin, English, Spanish, Thai, Korean",50,50,"kung fu, tai chi, running","kf 5, tc 5, rn 2",yes,guzheng,1,no,yes ,6,7,47
AMS06,2,ams,ch,right,normal,40,31,yes,master,female,right,17,20,English,123,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",40,60,yoga,5,no,no,no,no,no,na,6,47
AMS07,3,ams,ch,right,glasses,44,26,yes,master,female,right,21,23,English,50,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Korean, French, Japanese, German, Spanish",20,70,"tennis, taekwondo, pinpong, taichi, flamenco","tn 2, tk 4.5, ti 1, pp 1",no,"dance, flamenco","dn 6, fl 1",yes,yes ,7,11,53
AMS08,4,ams,ch,right,normal,48,25,yes,master,female,right,18,21,"English, Wu ",28,"E., M., H., U.",U.,"Mandarin, Wu","Mandarin, Wu, English","Mandarin, Wu, English, Spanish, French",90,10,badmington,1,no,no,no,no,no,na,8,43
AMS09,1,ams,ch,right,contacts,40,25,yes,master,female,right,21,22,"Cantonese, English",48,"E., M., H., U.",U.,"Mandarin, Cantonese","Mandarin, Cantonese, English","Mandarin, Cantonese, Spanish, English",50,50,yoga,12,yes,dance,1,no,no,na,3,32
AMS10,2,ams,ch,right,normal,45,23,yes,master,female,right,18,21,English,18,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, Spanish, English, Korean, Japanese",70,30,badmington,2,no,"piano, violin","vn 2, pn 16",yes,yes ,5,8,50
AMS11,3,ams,ch,left,glasses,52,24,yes,master,male,ambidextrous,18,20,"Hui, English",14,"E., M., H., U.",U.,"Mandarin, Hui","Mandarin, Hui, English","Mandarin, Hui, English, Spanish",35,65,"tennis, badmington, ping pong","tn 6, pp 10, bm 7",no,no,no,no,yes ,3 (no conduce),9,51
AMS12,4,ams,ch,left,glasses,41,24,yes,master,female,right,19,21,no,5,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",50,50,running,4,no,no,no,no,no,na,10,52
AMS13,1,ams,ch,right,glasses,45,20,yes,undergrad,female,right,19,19,no,13,"E., M., H.",U.,Mandarin,"Mandarin, Chinese","Mandarin, English, Spanish",35,65,swimming,10,no,"piano, ruan","pn 9, rn .5",no,no,na,8,49
AMS14,2,ams,ch,right,contacts,48,26,yes,master,male,right,19,24,no,40,"E., M., H., U.",U.,"Mandarin, Weifang Hua","Mandarin, Weifang Hua, English","Mandarin, Weifang Hua, English, Spanish",40,60,basketball,12,no,no,no,no,yes ,4 (no conduce),7,45
AMS15,3,ams,ch,right,normal,40,22,yes,master,female,right,18,19,"English, Sezchuan",5,"E., M., H., U.",U.,"Mandarin, Sezchuan","Mandarin, Sezchuan, English","Mandarin, Sezchuan, English, Spanish",80,20,running,rn 1,no,no,no,no,yes ,4 (no conduce),7,44
AMS16,4,ams,tw,right,contacts,44,41,yes,undergrad,female,right,24,28,"Hakka, English",192,"E., M., H., U.",no,"Mandarin, Hakka","Mandarin, Hakka","Mandarin, Hakka, French, Spanish, English, Catalan",10,90,kung fu,kf 7,no,dance,2,no,yes,20 (no conduce),3,39
AMS17,1,ams,ch,right,normal,49,19,yes,undergrad,male,right,16,18,English,13,"E., M., H.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, French",50,50,"soccer, badmington","sc 8, bd 6",no,"drums, piano","dr 1, pn 6",no,no,na,11,52
AMS18,2,ams,ch,right,glasses,47,22,yes,master,female,right,17,20,English,18,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, Cantonese",80,20,no,no,no,dance,15,no,yes,4 (no conduce),11,52
AMS19,3,ams,ch,right,glasses,52,23,yes,undergrad,female,right,13,18,"English, Fuzhou",120,"E., M.","M., H., U.","Mandarin, Fuzhou","Mandarin, Fuzhou, English","Mandarin, Fuzhou, English, Spanish, Korean, Catalan",20,70,swimming,1,no,guitar,2,no,yes,4,10,51
AMS20,1,ams,ch,left,glasses,42,24,yes,master,female,right,17,19,"English, Shucheng",30,"E., M., H., U.",U.,"Mandarin, Shucheng","Mandarin, Shucheng, English","Mandarin, Shucheng, English, Spanish, French",50,50,ping pong,9,no,no,no,no,yes,4 (no conduce),5,44
AMS21,4,ams,ch,right,glasses,45,25,yes,master,male,right,20,22,"English, Wu",26,"E., M., H., U.",U.,"Mandarin, Wu","Mandarin, Wu, English","Mandarin, Wu, English, Spanish, Catalan",80,20,no,no,no,"keyboard, bass",5,no,no,na,10,
AMS22,1,ams,ch,right,normal,43,24,yes,phd,female,right,18,20,English,30,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, Catalan",80,20,no,no,no,pipa,3,no,yes,3 (no conduce),9,
AMS23,3,ams,ch,right,normal,50,25,yes,phd,female,right,17,19,"English, Wu, Catalan",42,"E., M., H., U.",U.,"Mandarin, Wu","Mandarin, Wu, English","Mandarin, Wu, English, Spanish, Catalan",80,20,no,no,no,piano,4,no,yes,5 (no conduce),10,
AMS24,4,ams,ch,right,normal,42,32,yes,phd,male,right,23,25,"English, Japanese",30,"E., M., H., U.",U.,Mandarin,Mandarin,"Mandarin, English, Japanese, Spanish, Catalan",80,20,no,no,no,no,no,no,yes,8 (no conduce),9,
AMS25,2,ams,ch,right,glasses,50,24,yes,master,female,right,18,20,"English, Guanhua",24,"E., M., H., U.",U.,"Mandarin, Guanhua","Mandarin, English, Guanhua","Mandarin, English, Guanhua, Spanish, Catala, Portuguese",60,40,"badmington, ping pong, running","bd 4, pp 4, rn 10",no,"bamboo flute, cucurbit flute, xiao flute","fl 10, h 2, x 2",no,yes,6 (no conduce),7,
AMS26,2,ams,ch,right,glasses,42,23,yes,master,female,right,18,21,"English, Heilongjiang",10,"E., M., H., U.",U.,Mandarin,"Mandarin, Heilongjiang","Mandarin, Heilongjiang",40,60,"tennis, ping pong, natación","tn 6, pp 6, sw 20",no,"piano, ukelele","pn 15, uk .5",no,no,na,10,
AMS27,3,ams,ch,right,glasses,52,31,yes,master,female,right,12,16,"Catalan, English, Shanghai",228,"E., M.","M., H., U.","Mandarin, Shanghai","Mandarin, Shanghai","Mandarin, Shanghai, Catalan, Spanish",30,70,gym,2,no,no,no,no,no,na,5,
AMS28,4,ams,ch,right,normal,41,23,yes,master,female,right,19,20,"English, Shaanxi",5,"E., M., H.",U.,"Mandarin, Shaanxi","Mandarin, Shaanxi, English","Mandarin, Shaanxi, English, Spanish",50,50,"running, badmington","rn 15, bd 7",no,piano,10,no,yes,3 (no conduce),8,
AMS29,1,ams,ch,right,contacts,52,23,yes,phd,female,right,17,19,English,36,"E., M., H.",U.,"Mandarin, Jiangxi (Ji`an), Jiangxi(Xingan)","Mandarin, Jiangxi (Ji`an), Jiangxi(Xingan), English","Mandarin, Jiangxi (Ji`an), Jiangxi(Xingan), English, Spanish",90,10,"gym, ping pong, badminton","gy 7, pp 3, bd 3",no,"ukelele, guitar","uk 2, gu .5",no,yes,6 (no conduce),9,
AMS30,2,ams,ch,right,glasses,49,24,yes,master,female,right,19,20,"Cantonese, English, Catalan",22,"E., M., H.",U.,Cantonese,"Cantonese, Mandarin, English","Cantonese, Mandarin, English, Spanish, Catalan",60,40,"yoga, ping pong, basketball","yg 3, pp 2, bk 2",no,no,no,no,yes,3,10,
AMS31,3,ams,ch,right,normal,44,27,yes,undergrad,female,right,18,20,"English, Shanghai",9,"E., M., H., U.",U.,"Shanghai, Mandarin","Shanghai, Mandarin, English","Shanghai, Mandarin, English, Spanish, French",50,50,"tennis, snowboard, swimming, basketball, volleyball","tn 4, sn 3, sw 1, bk 6, vl 4",no,horn,3,no,yes,8 (no conduce),6,
AMS32,4,ams,ch,right,normal,44,23,yes,master,male,right,18,20,"English, Japanese, Guiliuhua",10,"E., M., H., U.",U.,"Mandarin, Guiliuhua, Zhuang","Mandarin, Guiliuhua, Zhuang, English","Mandarin, Guiliuhua, Zhuang, English, Japanese, Spanish, Catalan",70,30,"gym, badmington","gy 3, bd 10",no,guitar,2,no,yes,2 (no conduce),9,
